Airport,Rank
AGS,1.3371356372223415
ACK,1.3297876815965275
SCF,1.3271295356951203
OLH,1.3122505247698701
BQN,1.2962367915159858
GYY,1.2741991385675693
CMI,1.2645687854019052
BMI,1.2467163772496375
NUI,1.246503071803784
CPR,1.2461426609371216
NCN,1.2274649077129585
DRO,1.227398786197586
ACT,1.2241970727416045
KPB,1.2224422661120267
DQU,1.2224422661120267
RIL,1.2210770324973566
RAP,1.212984202795806
CIK,1.196259773442162
MOT,1.1943565682066464
KNW,1.180899331299294
WBQ,1.1805594443101695
BFL,1.164050112187093
SHX,1.1618564271326237
DLH,1.159609363455941
TVC,1.1565715539196924
AIN,1.1492274536325708
HSH,1.148182166938587
ANV,1.1478114842507317
KMO,1.133790932813022
EAA,1.1328652710294294
KGK,1.1322276343119593
IRC,1.130421284879116
BLV,1.1253239140349973
GLV,1.120249473880039
SLQ,1.1073866147471596
DAB,1.1064852277354806
LNK,1.1049547826956343
WRG,1.104406891780604
LFT,1.0983506647128098
KCL,1.0960487074458056
LMA,1.0937629054578093
ACV,1.0891526052831215
GKN,1.0781674906838419
TRI,1.0777525643579589
KAE,1.073139827543
CXF,1.0727179889076153
MHK,1.062084240409472
SRV,1.060903170587996
PKA,1.049147409835642
GFK,1.0484899499280558
KBC,1.0443790801215984
PTD,1.0409814717849768
RIV,1.0377798657921578
CKB,1.0376486192441332
CPX,1.033331894636785
KYK,1.0299385513832
VAK,1.0240781885174717
RST,1.0152878064604867
BFB,1.015274665128487
MYU,1.0147864100846442
AVP,1.0135036498260859
SGU,1.0133906310868832
VQS,0.9984392156740268
USA,0.9882919139504509
IGG,0.9741822912468268
FRG,0.9684116443698684
YUM,0.949884958420057
MHR,0.948728990552582
SCK,0.9339715687255552
HLN,0.9337026625419538
JZT,0.9319672301074565
CRW,0.9278221422038505
CHU,0.9270595658907997
ITO,0.9028002493672022
PEC,0.8870936950658724
BRO,0.8853785760067607
TUP,0.88472347274766
MGM,0.8784260246010418
SUN,0.8623597734731477
PPC,0.8610837177155891
KEK,0.8607285304060867
LWS,0.8585544989931251
MLY,0.8555112340353721
CLD,0.8505493986097632
FAY,0.8424514358296484
GRK,0.8359668684766914
PTK,0.8350215612355767
